OBJECTID,TERRIER_NO,WARDS
129070,3058,00FFNP
129071,0256C,00FFNY
129072,1085,00FFNM
129082,0976,00FFNP
129084,0185,00FFNY
129085,0499,00FFNP
129092,2095,00FFNW
129110,7213A,00FFNU
129119,1904,00FFNS
129121,0472,00FFNU
129124,8080,00FFPE
129126,0068,00FFNP
129129,2642,00FFNU
129131,0801,00FFNH
129134,0357,00FFNP
129139,5685,00FFNU
129146,0019,00FFNS
129147,3255,00FFNG
129164,0647,00FFNY
129166,0605,00FFNP
129167,0556,00FFNS
129168,0481B,00FFNL
129176,1806,00FFNY
129194,8011,00FFNX
129198,2482,00FFNS
129209,5716,00FFPD
129210,1907,00FFNY
129217,9532,00FFNL
129223,1881,00FFNY
129225,0956,00FFNS
129263,3087,00FFNS
129265,0014,00FFNP
129270,0608,00FFNL
129274,1345,00FFNM
129275,3260,00FFNP
129306,2509,00FFPD
129322,7926,00FFNX
129331,0534A,00FFNH
129332,8006,00FFNQ
129333,0438,00FFNJ
129367,0144,00FFNS
129373,2850,00FFNY
129378,0969,00FFNM
129379,2172,00FFNY
129411,8030,00FFPC
129418,1804,00FFNY
129424,2744,00FFNP
129426,7780,00FFNP
129436,3105,00FFNP
129437,0910,00FFNP
129439,3393,00FFNP
129450,3230,00FFNL
129457,1551,00FFPD
129463,2656,00FFNP
129466,3261,00FFNP
129467,2096,00FFNP
129468,0192,00FFNS
129472,8025,00FFPC
129473,8017,00FFNX
129475,2294,00FFNM
129477,0476B,00FFNU
129485,9588,00FFPA
129488,0481C,00FFPA
129491,2587,00FFNY
129492,8055,00FFxx1
129494,2792,00FFNU
129496,7936,00FFNH
129498,0186,00FFNP
129500,0186,00FFNP
129501,8128,00FFxx2
129502,9522,00FFNP
129514,2708,00FFNY
129516,0326,00FFNP
129519,2920C,00FFNL
129526,3084,00FFNP
129532,2607,00FFPD
129534,9589,00FFNU
129535,9286,00FFxx4
129538,8007,00FFNQ
129539,3055,00FFNG
129543,1910,00FFNY
129546,9535,00FFNU
129553,3199,00FFNL
129557,9520,00FFxx4
129559,9593,00FFxx4
129560,9613,00FFxx4
129566,1858,00FFNY
129567,9623,00FFNX
129568,0186,00FFxx4
129569,7995,00FFxx4
129570,7993,00FFxx4
129571,3198,00FFxx4
129585,1433,00FFNL
129586,0576,00FFNY
129590,9549,00FFPA
129592,2668,00FFNP
129593,9629,00FFNU
129609,7922,00FFNQ
129612,0437,00FFNS
129614,0305,00FFNY
129616,7973,00FFPC
129619,3226,00FFPD
129620,8123,00FFNJ
129621,0063,00FFNP
129631,4869B,00FFNP
129670,1880,00FFNS
129698,1878,00FFNY
129708,7997,00FFNX
129712,0580,00FFNP
129713,2847,00FFPD
129714,0481B,00FFNL
129715,9544,00FFNL
129716,9545,00FFNQ
129717,2811,00FFPD
129733,1545B,00FFNU
129734,9552,00FFNL
129735,2984,00FFNP
129736,9555,00FFNX
129739,2846,00FFNP
129747,2860,00FFNU
129749,0067,00FFNU
129751,8084,00FFPA
129758,0056,00FFNP
129760,3112A,00FFNY
129763,7213,00FFNU
129767,7999,00FFNQ
129774,,
129795,6330,00FFNS
129796,0153,00FFNY
129798,0876,00FFPD
129799,2745,00FFNY
129806,0108,00FFNP
129809,1926,00FFNY
129811,0954,00FFNP
129812,0376,00FFNY
129816,0520,00FFNS
129818,9271,00FFPE
129819,9207,00FFPA
129832,7944,00FFPA
129840,9527,00FFNP
129847,9465,00FFNU
