LAU212CD,LAU212NM,FID
UKM3600055,Balloch East and Ravenswood,783
UKM3600005,New Stevenston and Carfin,784
UKM3600056,""Balloch West, Blackwood East and Craigmarloch"",785
UKM3600006,Craigneuk,786
UKM3600057,""Westerwood, Carrickstone and Dullatur"",787
UKM3600007,Belhaven,788
UKM3600058,Abronhill South,789
UKM3600008,Stewarton,790
UKM3600009,Cambusnethan,791
UKM3600059,Abronhill Central and North,792
UKM3600010,Coltness,793
UKM3600060,Carbrain East,794
UKM3600011,Watsonville,795
UKM3600012,Knowetop,796
UKM3600013,Muirhouse and Netherton,797
UKM3600061,Carbrain West and Greenfaulds,798
UKM3600062,Condorrat Central,799
UKM3600063,Condorrat North and Westfield,800
UKM3800064,Cathkin/Springhall,801
UKM3800065,Fernhill,802
UKM3800066,Kirkhill/Whitlawburn,803
UKM3800067,Eastfield,804
UKM5001001,Pitmedden,805
UKM5001002,Bankhead/Stoneywood,806
UKM5001003,Danestone,807
UKM5001004,Jesmond,808
