Date,Hour,LocationName,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount
01/02/2014,15,Albion Street South,Saturday,2014,1,January,5,4598
01/02/2014,15,Albion Street North,Saturday,2014,1,January,5,2868
01/02/2014,16,Briggate,Saturday,2014,1,January,5,5513
01/02/2014,16,Briggate at McDonalds ,Saturday,2014,1,January,5,2239
01/02/2014,16,Commercial Street at Lush,Saturday,2014,1,January,5,3000
01/02/2014,16,Commercial Street at Barratts,Saturday,2014,1,January,5,2093
01/02/2014,16,Headrow,Saturday,2014,1,January,5,2085
01/02/2014,16,Dortmund Square ,Saturday,2014,1,January,5,4569
01/02/2014,16,Albion Street South,Saturday,2014,1,January,5,4861
01/02/2014,16,Albion Street North,Saturday,2014,1,January,5,2180
01/02/2014,17,Briggate,Saturday,2014,1,January,5,4221
01/02/2014,17,Briggate at McDonalds ,Saturday,2014,1,January,5,1690
01/02/2014,17,Commercial Street at Lush,Saturday,2014,1,January,5,1035
01/02/2014,17,Commercial Street at Barratts,Saturday,2014,1,January,5,861
01/02/2014,17,Headrow,Saturday,2014,1,January,5,1320
01/02/2014,17,Dortmund Square ,Saturday,2014,1,January,5,2769
01/02/2014,17,Albion Street South,Saturday,2014,1,January,5,2676
01/02/2014,17,Albion Street North,Saturday,2014,1,January,5,724
01/02/2014,18,Briggate,Saturday,2014,1,January,5,2457
01/02/2014,18,Briggate at McDonalds ,Saturday,2014,1,January,5,915
01/02/2014,18,Commercial Street at Lush,Saturday,2014,1,January,5,348
01/02/2014,18,Commercial Street at Barratts,Saturday,2014,1,January,5,285
01/02/2014,18,Headrow,Saturday,2014,1,January,5,616
01/02/2014,18,Dortmund Square ,Saturday,2014,1,January,5,1432
01/02/2014,18,Albion Street South,Saturday,2014,1,January,5,1149
01/02/2014,18,Albion Street North,Saturday,2014,1,January,5,335
01/02/2014,19,Briggate,Saturday,2014,1,January,5,1414
01/02/2014,19,Briggate at McDonalds ,Saturday,2014,1,January,5,500
01/02/2014,19,Commercial Street at Lush,Saturday,2014,1,January,5,211
01/02/2014,19,Commercial Street at Barratts,Saturday,2014,1,January,5,176
01/02/2014,19,Headrow,Saturday,2014,1,January,5,420
01/02/2014,19,Dortmund Square ,Saturday,2014,1,January,5,913
01/02/2014,19,Albion Street South,Saturday,2014,1,January,5,609
01/02/2014,19,Albion Street North,Saturday,2014,1,January,5,206
01/02/2014,20,Briggate,Saturday,2014,1,January,5,930
01/02/2014,20,Briggate at McDonalds ,Saturday,2014,1,January,5,418
01/02/2014,20,Commercial Street at Lush,Saturday,2014,1,January,5,183
01/02/2014,20,Commercial Street at Barratts,Saturday,2014,1,January,5,209
01/02/2014,20,Headrow,Saturday,2014,1,January,5,279
01/02/2014,20,Dortmund Square ,Saturday,2014,1,January,5,521
01/02/2014,20,Albion Street South,Saturday,2014,1,January,5,422
01/02/2014,20,Albion Street North,Saturday,2014,1,January,5,298
01/02/2014,21,Briggate,Saturday,2014,1,January,5,817
01/02/2014,21,Briggate at McDonalds ,Saturday,2014,1,January,5,357
01/02/2014,21,Commercial Street at Lush,Saturday,2014,1,January,5,151
01/02/2014,21,Commercial Street at Barratts,Saturday,2014,1,January,5,153
01/02/2014,21,Headrow,Saturday,2014,1,January,5,252
01/02/2014,21,Dortmund Square ,Saturday,2014,1,January,5,379
01/02/2014,21,Albion Street South,Saturday,2014,1,January,5,244
01/02/2014,21,Albion Street North,Saturday,2014,1,January,5,222
01/02/2014,22,Briggate,Saturday,2014,1,January,5,896
01/02/2014,22,Briggate at McDonalds ,Saturday,2014,1,January,5,427
01/02/2014,22,Commercial Street at Lush,Saturday,2014,1,January,5,190
01/02/2014,22,Commercial Street at Barratts,Saturday,2014,1,January,5,110
01/02/2014,22,Headrow,Saturday,2014,1,January,5,260
01/02/2014,22,Dortmund Square ,Saturday,2014,1,January,5,387
01/02/2014,22,Albion Street South,Saturday,2014,1,January,5,252
01/02/2014,22,Albion Street North,Saturday,2014,1,January,5,251
01/02/2014,23,Briggate,Saturday,2014,1,January,5,935
01/02/2014,23,Briggate at McDonalds ,Saturday,2014,1,January,5,349
01/02/2014,23,Commercial Street at Lush,Saturday,2014,1,January,5,125
01/02/2014,23,Commercial Street at Barratts,Saturday,2014,1,January,5,156
01/02/2014,23,Headrow,Saturday,2014,1,January,5,233
01/02/2014,23,Dortmund Square ,Saturday,2014,1,January,5,231
01/02/2014,23,Albion Street South,Saturday,2014,1,January,5,219
01/02/2014,23,Albion Street North,Saturday,2014,1,January,5,163
