LAD17CD,LAD17NM,CSP17CD,CSP17NM,PFA17CD,PFA17NM,FID
E07000012,South Cambridgeshire,E22000018,South Cambridgeshire,E23000023,Cambridgeshire,239
E07000026,Allerdale,E22000031,Allerdale,E23000002,Cumbria,240
E07000027,Barrow-in-Furness,E22000032,Barrow-in-Furness,E23000002,Cumbria,241
E07000028,Carlisle,E22000033,Carlisle,E23000002,Cumbria,242
E07000029,Copeland,E22000034,Copeland,E23000002,Cumbria,243
E07000030,Eden,E22000035,Eden,E23000002,Cumbria,244
E07000031,South Lakeland,E22000036,South Lakeland,E23000002,Cumbria,245
E07000032,Amber Valley,E22000037,Amber Valley,E23000018,Derbyshire,246
E07000033,Bolsover,E22000038,Bolsover,E23000018,Derbyshire,247
E07000034,Chesterfield,E22000039,Chesterfield,E23000018,Derbyshire,248
E07000035,Derbyshire Dales,E22000041,Derbyshire Dales,E23000018,Derbyshire,249
E07000036,Erewash,E22000042,Erewash,E23000018,Derbyshire,250
E07000037,High Peak,E22000043,High Peak,E23000018,Derbyshire,251
E07000038,North East Derbyshire,E22000044,North East Derbyshire,E23000018,Derbyshire,252
E07000039,South Derbyshire,E22000045,South Derbyshire,E23000018,Derbyshire,253
E07000040,East Devon,E22000362,East and Mid Devon,E23000035,Devon & Cornwall,254
E07000041,Exeter,E22000049,Exeter,E23000035,Devon & Cornwall,255
E07000042,Mid Devon,E22000362,East and Mid Devon,E23000035,Devon & Cornwall,256
E07000043,North Devon,E22000363,North Devon,E23000035,Devon & Cornwall,257
E07000044,South Hams,E22000364,South Devon and Dartmoor,E23000035,Devon & Cornwall,258
E07000045,Teignbridge,E22000364,South Devon and Dartmoor,E23000035,Devon & Cornwall,259
E07000046,Torridge,E22000363,North Devon,E23000035,Devon & Cornwall,260
E07000047,West Devon,E22000364,South Devon and Dartmoor,E23000035,Devon & Cornwall,261
E07000048,Christchurch,E22000367,Dorset,E23000039,Dorset,262
E07000049,East Dorset,E22000367,Dorset,E23000039,Dorset,263
E07000050,North Dorset,E22000367,Dorset,E23000039,Dorset,264
E07000051,Purbeck,E22000367,Dorset,E23000039,Dorset,265
E07000052,West Dorset,E22000367,Dorset,E23000039,Dorset,266
E07000053,Weymouth and Portland,E22000367,Dorset,E23000039,Dorset,267
E07000061,Eastbourne,E22000295,Eastbourne,E23000033,Sussex,268
E07000062,Hastings,E22000296,Hastings,E23000033,Sussex,269
E07000063,Lewes,E22000298,Lewes,E23000033,Sussex,270
E07000064,Rother,E22000300,Rother,E23000033,Sussex,271
E07000065,Wealden,E22000301,Wealden,E23000033,Sussex,272
E07000066,Basildon,E22000079,Basildon,E23000028,Essex,273
E07000067,Braintree,E22000080,Braintree,E23000028,Essex,274
E07000068,Brentwood,E22000081,Brentwood,E23000028,Essex,275
E07000069,Castle Point,E22000082,Castle Point,E23000028,Essex,276
E07000070,Chelmsford,E22000083,Chelmsford,E23000028,Essex,277
E07000071,Colchester,E22000084,Colchester,E23000028,Essex,278
E07000072,Epping Forest,E22000085,Epping Forest,E23000028,Essex,279
E07000073,Harlow,E22000086,Harlow,E23000028,Essex,280
E07000074,Maldon,E22000087,Maldon,E23000028,Essex,281
E07000075,Rochford,E22000088,Rochford,E23000028,Essex,282
E07000076,Tendring,E22000090,Tendring,E23000028,Essex,283
E07000077,Uttlesford,E22000092,Uttlesford,E23000028,Essex,284
E07000078,Cheltenham,E22000093,Cheltenham,E23000037,Gloucestershire,285
E07000079,Cotswold,E22000094,Cotswold,E23000037,Gloucestershire,286
E07000080,Forest of Dean,E22000095,Forest of Dean,E23000037,Gloucestershire,287
E07000081,Gloucester,E22000096,Gloucester,E23000037,Gloucestershire,288
E07000082,Stroud,E22000097,Stroud,E23000037,Gloucestershire,289
E07000083,Tewkesbury,E22000098,Tewkesbury,E23000037,Gloucestershire,290
E07000084,Basingstoke and Deane,E22000374,North Hampshire,E23000030,Hampshire,291
E07000085,East Hampshire,E22000110,East Hampshire,E23000030,Hampshire,292
E07000086,Eastleigh,E22000111,Eastleigh,E23000030,Hampshire,293
E07000087,Fareham,E22000112,Fareham,E23000030,Hampshire,294
E07000088,Gosport,E22000113,Gosport,E23000030,Hampshire,295
E07000089,Hart,E22000374,North Hampshire,E23000030,Hampshire,296
E07000090,Havant,E22000115,Havant,E23000030,Hampshire,297
E07000091,New Forest,E22000117,New Forest,E23000030,Hampshire,298
E07000092,Rushmoor,E22000374,North Hampshire,E23000030,Hampshire,299
E07000093,Test Valley,E22000121,Test Valley,E23000030,Hampshire,300
E07000094,Winchester,E22000122,Winchester,E23000030,Hampshire,301
E07000095,Broxbourne,E22000123,Broxbourne,E23000027,Hertfordshire,302
E07000096,Dacorum,E22000124,Dacorum,E23000027,Hertfordshire,303
E07000242,East Hertfordshire,E22000125,East Hertfordshire,E23000027,Hertfordshire,304
E07000098,Hertsmere,E22000126,Hertsmere,E23000027,Hertfordshire,305
E07000099,North Hertfordshire,E22000127,North Hertfordshire,E23000027,Hertfordshire,306
E07000243,Stevenage,E22000129,Stevenage,E23000027,Hertfordshire,307
E07000102,Three Rivers,E22000130,Three Rivers,E23000027,Hertfordshire,308
E07000103,Watford,E22000131,Watford,E23000027,Hertfordshire,309
E07000105,Ashford,E22000137,Ashford,E23000032,Kent,310
E07000106,Canterbury,E22000138,Canterbury,E23000032,Kent,311
E07000107,Dartford,E22000352,Dartford and Gravesham,E23000032,Kent,312
E07000108,Dover,E22000140,Dover,E23000032,Kent,313
E07000109,Gravesham,E22000352,Dartford and Gravesham,E23000032,Kent,314
E07000110,Maidstone,E22000142,Maidstone,E23000032,Kent,315
E07000111,Sevenoaks,E22000144,Sevenoaks,E23000032,Kent,316
