OBJECTID,SOURCE_ID,SYMBOL,FEATURE_DESC,ANGLE
214454,11101,248,Wind Turbine,0
214455,11101,248,Wind Turbine,0
214456,11101,248,Wind Turbine,0
214457,11101,248,Wind Turbine,0
214458,11101,248,Wind Turbine,0
214459,11101,248,Wind Turbine,0
214460,11101,248,Wind Turbine,0
214461,11101,248,Wind Turbine,0
214462,11101,248,Wind Turbine,0
214463,11101,248,Wind Turbine,0
214297,10701,59,Vacant Farm Unit,0
214298,10701,42,Mine Shaft or Drift,0
214299,10701,42,Mine Shaft or Drift,0
214300,10701,42,Mine Shaft or Drift,0
214301,10701,42,Mine Shaft or Drift,0
214302,10701,42,Mine Shaft or Drift,0
214303,10701,42,Mine Shaft or Drift,0
214304,10701,42,Mine Shaft or Drift,0
214305,10701,42,Mine Shaft or Drift,0
214306,10701,58,Farm Unit,0
214307,10701,58,Farm Unit,0
214308,10701,110,Micro-Wave or Radio Tower,0
214309,10801,29,""Cemetery, North & South"",0
214310,10801,58,Farm Unit,270
214311,10801,59,Vacant Farm Unit,0
214312,10801,58,Vacant Farm Unit,90
214313,10801,58,Farm Unit,0
214314,10801,58,Farm Unit,0
214315,10801,58,Farm Unit,0
214316,10801,59,Vacant Farm Unit,0
214317,10801,60,Dwelling other than Farm,0
214318,10802,58,Farm Unit,0
214319,10802,78,Gravel Pit,0
214320,10802,60,Dwelling other than Farm,0
214321,10801,78,Gravel Pit,0
214322,20811,60,Dwelling other than Farm,0
214323,20811,60,Dwelling other than Farm,0
214324,20811,60,Dwelling other than Farm,0
214325,20811,60,Dwelling other than Farm,0
214326,20811,60,Dwelling other than Farm,0
214327,10802,5,State Capitol,0
214328,10801,59,Vacant Farm Unit,0
214329,10801,56,Auto Graveyard,0
214330,10801,106,Power Substation,0
214331,10801,78,Gravel Pit,0
214332,10801,58,Farm Unit,180
214333,10802,58,Farm Unit,0
214334,20811,63,""Tenant House, Multiple Housing, Duplex, etc."",0
214335,20811,92,Municipal Building,0
214336,20811,82,Other Educational Institution,0
214337,20811,60,Dwelling other than Farm,0
214338,20811,60,Dwelling other than Farm,0
214770,11701,60,Dwelling other than Farm,0
214771,11701,58,Farm Unit,0
214772,11902,78,Gravel Pit,0
214773,11902,78,Gravel Pit,0
214774,11902,42,Mine Shaft or Drift,0
214775,11902,78,Gravel Pit,0
214776,11902,58,Farm Unit,0
214777,11902,78,Gravel Pit,0
214778,11901,78,Gravel Pit,0
214779,11901,110,Micro-Wave or Radio Tower,0
214780,11901,58,Farm Unit,0
214781,11901,58,Farm Unit,180
214782,11901,59,Vacant Farm Unit,182.04759899
214783,11901,58,Farm Unit,180
214784,11901,58,Farm Unit,0
214785,11901,78,Gravel Pit,0
214786,11901,78,Gravel Pit,0
214787,11901,29,""Cemetery, East & West"",1.31377345
214788,11901,29,""Cemetery, North & South"",2.23337335
214789,11901,58,Farm Unit,270
214790,11901,58,Farm Unit,180
214791,11901,106,Power Substation,1
214792,11901,29,""Cemetery, North & South"",1.41764887
214793,21905,66,Seasonal Dwellings closely spaced,0
214794,21905,65,Seasonal or Summer Dwelling,0
214795,11902,59,Vacant Farm Unit,0
