Core.DepthRank,CoreName,Depth,Age.Yng,Age,Age.Old,LOI,
1,55A,1120,NA,9603,NA,30.04115226,
1,55A,1122,NA,9647.023,NA,28.16326531,
1,55A,1124,NA,9691.046,NA,27.20306513,
1,55A,1126,NA,9735.068,NA,26.50176678,
1,55A,1128,NA,9779.091,NA,25.35211268,
1,55A,1130,NA,9823.114,NA,25.34246575,
1,55A,1132,NA,9867.136,NA,24.91582492,
1,55A,1134,NA,9911.159,NA,26.76579926,
1,55A,1136,NA,10002.58,NA,30.63829787,
1,55A,1138,NA,10134.16,NA,27.77777778,
1,55A,1140,NA,10265.74,NA,30.39215686,
1,55A,1142,NA,10397.32,NA,26.20087336,
1,55A,1144,NA,10528.9,NA,33.33333333,
1,55A,1146,NA,10660.48,NA,33.91812865,
1,55A,1148,NA,10792.06,NA,40.37267081,
1,55A,1150,NA,10923.64,NA,34.04255319,
1,55A,1152,NA,11055.22,NA,36.15819209,
1,55A,1154,NA,11186.8,NA,37.14285714,
1,55A,1156,NA,11318.37,NA,22.56809339,
1,55A,1158,NA,11449.95,NA,22.38267148,
1,55A,1164,NA,12304.39,NA,28.47222222,
1,55A,1166,NA,12641.06,NA,26.80412371,
1,55A,1168,NA,12977.72,NA,23.74429224,
1,55A,1170,NA,13314.39,NA,33.85416667,
1,55A,1172,NA,13651.05,NA,13.85041551,
1,55A,1174,NA,13987.72,NA,18.30508475,
1,55A,1176,NA,14324.38,NA,10.50583658,
1,55A,1178,NA,14661.05,NA,11.72566372,
1,55A,1180,NA,14997.71,NA,1.996197719,
1,55A,1182,NA,15089.65,NA,3.550973654,
1,55A,1184,NA,15120.32,NA,2.951191827,
1,55A,1186,NA,15150.26,NA,7.775768535,
1,55A,1188,NA,15178.71,NA,7.785467128,
1,55A,1190,NA,15205.82,NA,1.953818828,
2,23A,350,-59.24,-59.24,-59,66.97,
2,23A,351,-57.72,-51.54,61.25,65.55,
2,23A,352,-56.2,-43.84,113.25,65.22,
2,23A,353,-54.68,-36.14,144.95,63.69,
2,23A,354,-53.16,-28.48,166.64,63.71,
2,23A,355,-51.64,-20.87,186.86,63.01,
2,23A,356,-50.12,-13.34,208.3,62.44,
2,23A,357,-48.61,-5.74,223.44,62.54,
2,23A,358,-47.07,1.77,235.69,62.35,
2,23A,359,-45.51,9.32,247.47,62.18,
2,23A,360,-43.98,16.78,259.14,60.36,
2,23A,361,-42.46,23.86,269.6,65.57,
2,23A,362,-40.93,31.2,278.27,65.55,
2,23A,363,-39.23,38.66,288.8,65.01,
2,23A,364,-37.66,45.45,297.4,65.49,
2,23A,365,-36.08,52.6,307.78,66.12,
2,23A,366,-34.52,59.91,316.36,66.39,
2,23A,367,-32.97,66.93,325.27,65.53,
2,23A,368,-31.42,73.8,332.15,65.55,
2,23A,369,-29.76,80.81,340.56,65.34,
2,23A,370,-28.07,87.72,347.04,65.18,
2,23A,371,-25.99,94.4,351.31,65.1,
2,23A,372,-24.23,101.75,358.3,65.17,
2,23A,373,-22.32,108.94,364.21,66.54,
2,23A,374,-20.48,115.86,369.76,66.01,
2,23A,375,-18.74,122.73,376.01,62.98,
2,23A,376,-16.96,129.76,381.59,66.22,
2,23A,377,-15.28,136.14,387.81,65.49,
