# From 24/9/2003 to 31/10/2003
# And 12:00 to 18:00
# Executed at Jun 11, 2011 4:05:33 PM
# Using 100x100
# Desired K: 10
# 
# Format: 
# 	Time start, Time end, Regions
# Region Format:
# 	unique users | reading count | area > <Next Region>
# 
# Total Region Count:
# 8828
############

1067283000000,1067283900000,51|149|544>48|160|1027>45|153|460>33|193|2490>33|213|459>29|58|44>28|44|1122>23|50|263>21|24|43>17|111|96>17|30|1493>17|42|1179>16|22|390>15|79|390
1067283900000,1067284800000,52|94|544>51|193|1027>48|143|460>34|71|44>31|291|459>29|37|43>28|163|2490>26|159|96>25|59|1122>23|38|263>19|62|1179>19|35|390>16|51|390>14|26|1493
1067284800000,1067285700000,64|93|31>61|132|457>54|151|1027>54|154|460>38|192|459>36|42|43>31|115|2490>30|51|1122>25|43|263>25|72|390>24|32|390>22|118|96>19|31|1493>14|34|1179>0|0|13>0|0|87
1067285700000,1067286600000,0|0|544>6|8|44>67|285|992>46|101|460>37|122|2490>34|146|459>34|44|43>33|58|263>30|64|1122>22|75|390>21|120|96>19|33|1493>17|23|390>16|52|1179>0|0|35
1067286600000,1067287500000,0|0|495>46|203|992>45|81|544>38|122|2490>35|79|44>35|68|1122>30|42|263>27|162|459>25|93|1179>23|45|390>20|43|1493>17|66|390>15|91|96>12|15|43
1067287500000,1067288400000,48|92|544>46|104|44>43|225|992>37|123|495>30|58|263>28|51|1122>27|73|2490>27|65|390>27|42|43>22|75|1179>22|76|96>21|62|1493>18|86|459>18|62|390
1067288400000,1067289300000,47|92|544>41|196|992>41|106|495>39|72|44>34|94|2490>31|43|263>26|86|459>25|50|1122>19|60|1179>16|28|390>16|43|1493>15|17|43>15|95|96>10|51|390
1067289300000,1067290200000,53|184|992>53|254|495>47|78|544>33|57|44>31|116|2490>28|139|459>26|61|263>22|37|1122>22|34|43>21|51|1493>21|128|96>20|46|390>19|47|1179>15|43|390
1067290200000,1067291100000,49|108|544>44|125|992>40|123|2490>39|186|495>27|43|44>27|63|263>24|34|1122>22|37|390>17|24|43>17|118|96>16|91|459>16|37|1493>16|48|1179>10|41|390
1067291100000,1067292000000,49|63|43>47|93|544>43|81|44>41|125|495>40|137|2490>36|104|992>25|53|263>25|44|390>24|36|1122>24|45|1493>19|124|96>17|57|459>12|36|1179>12|41|390
1067292000000,1067292900000,7|52|507>43|94|544>38|58|44>38|117|495>37|149|2490>34|80|992>28|33|43>27|57|273>24|37|263>20|62|459>17|29|1122>17|20|1493>17|79|96>14|47|1179
1067292900000,1067293800000,8|22|327>49|100|544>37|138|495>37|104|992>35|99|2490>28|47|263>22|104|459>19|86|96>17|20|44>16|30|1122>16|29|1439>14|58|507>11|43|1179>10|14|43
1067293800000,1067294700000,45|124|544>43|148|992>35|170|2490>33|140|495>28|116|96>27|89|459>19|23|1439>17|18|44>16|27|327>16|94|1179>14|30|263>13|22|1122>13|50|507>12|14|43
1067294700000,1067295600000,53|107|544>44|180|2490>40|187|495>39|130|992>22|79|459>21|40|1122>19|31|327>19|33|263>18|97|1179>16|120|96>16|25|43>14|22|44>13|36|507>12|21|1439
1067295600000,1067296500000,51|149|495>50|205|544>47|124|992>38|125|2490>28|166|96>25|49|44>24|113|1179>23|93|459>23|69|263>15|51|327>14|52|43>12|15|1122>11|61|507>10|17|1439
1067361300000,1067362200000,54|152|544>47|131|1122>44|155|992>41|134|495>41|86|44>34|54|43>33|121|2490>26|73|459>25|89|1179>22|89|96>20|28|263>20|44|327>18|22|507>18|43|1439
