"country","year","value","climate_model","scenario","variable"
"BRA",1966,169.660483042348,"gfdl","historic","precipitation"
"BRA",1967,196.939273184928,"gfdl","historic","precipitation"
"BRA",1968,183.890405118388,"gfdl","historic","precipitation"
"BRA",1969,169.667248177407,"gfdl","historic","precipitation"
"BRA",1970,150.063084096614,"gfdl","historic","precipitation"
"BWA",1961,63.4740666148343,"gfdl","historic","precipitation"
"BWA",1962,67.9391788537371,"gfdl","historic","precipitation"
"BWA",1963,49.0427418351948,"gfdl","historic","precipitation"
"BWA",1964,65.7740712164648,"gfdl","historic","precipitation"
"BWA",1965,59.5185808707029,"gfdl","historic","precipitation"
"BWA",1966,60.2175616962212,"gfdl","historic","precipitation"
"BWA",1967,38.9880769734659,"gfdl","historic","precipitation"
"BWA",1968,58.3003905430737,"gfdl","historic","precipitation"
"BWA",1969,47.8767489638643,"gfdl","historic","precipitation"
"BWA",1970,59.3428030460059,"gfdl","historic","precipitation"
"CAF",1961,170.65017508674,"gfdl","historic","precipitation"
"CAF",1962,157.802118671491,"gfdl","historic","precipitation"
"CAF",1963,152.647536766924,"gfdl","historic","precipitation"
"CAF",1964,170.216108431746,"gfdl","historic","precipitation"
"CAF",1965,111.993097115605,"gfdl","historic","precipitation"
"CAF",1966,157.27613786431,"gfdl","historic","precipitation"
"CAF",1967,149.363474713537,"gfdl","historic","precipitation"
"CAF",1968,166.384206991397,"gfdl","historic","precipitation"
"CAF",1969,179.477865528166,"gfdl","historic","precipitation"
"CAF",1970,185.833136614858,"gfdl","historic","precipitation"
"CAN",1961,94.1524182422309,"gfdl","historic","precipitation"
"CAN",1962,90.5520577133639,"gfdl","historic","precipitation"
"CAN",1963,87.8946957033922,"gfdl","historic","precipitation"
"CAN",1964,77.6261406077382,"gfdl","historic","precipitation"
"CAN",1965,93.8805718007662,"gfdl","historic","precipitation"
"CAN",1966,105.225683778587,"gfdl","historic","precipitation"
"CAN",1967,75.1905654030712,"gfdl","historic","precipitation"
"CAN",1968,74.86686276383,"gfdl","historic","precipitation"
"CAN",1969,92.9653636332707,"gfdl","historic","precipitation"
"CAN",1970,84.6382013612313,"gfdl","historic","precipitation"
"CHL",1961,15.0091386757891,"gfdl","historic","precipitation"
"CHL",1962,19.7622470226405,"gfdl","historic","precipitation"
"CHL",1963,5.14621563200591,"gfdl","historic","precipitation"
"CHL",1964,5.84920326457001,"gfdl","historic","precipitation"
"CHL",1965,9.57750103972254,"gfdl","historic","precipitation"
"CHL",1966,19.1605200579867,"gfdl","historic","precipitation"
"CHL",1967,9.36736815913227,"gfdl","historic","precipitation"
"CHL",1968,4.00337985308267,"gfdl","historic","precipitation"
"CHL",1969,11.5144813291146,"gfdl","historic","precipitation"
"CHL",1970,5.6788187222778,"gfdl","historic","precipitation"
"CHN",1961,112.523406343522,"gfdl","historic","precipitation"
"CHN",1962,119.065816033188,"gfdl","historic","precipitation"
"CHN",1963,92.6611136819893,"gfdl","historic","precipitation"
"CHN",1964,95.7101333336071,"gfdl","historic","precipitation"
