CalBP	OC_(wt%)	TC_(wt%)		CalBP	OC+SD_(wt%)	TC+SD_(wt%)		CalYr_AD	CalBP	Marine_Temp_(degC)
								1808.4	170	8.2
								1807.6	171	8.0
								1806.7	172	8.2
								1805.9	173	7.2
								1805.1	174	6.7
								1804.2	175	7.2
								1803.4	176	7.3
								1802.6	177	7.8
								1801.7	178	7.4
								1800.9	179	6.5
								1800.1	180	7.8
								1799.2	181	8.6
								1798.4	182	8.6
								1797.6	183	8.0
								1796.7	184	8.0
								1795.9	185	8.8
								1795.1	186	9.4
								1794.3	187	8.8
								1793.4	188	7.3
								1792.6	189	8.3
								1791.8	190	7.3
								1790.9	191	7.6
								1790.1	192	6.2
								1789.3	193	8.1
								1788.4	194	7.3
								1787.6	195	7.3
								1786.8	196	8.7
								1785.9	197	7.9
								1785.1	198	7.5
								1784.3	199	6.9
								1783.4	200	7.1
								1782.6	201	8.1
								1781.8	202	9.1
								1780.9	203	8.9
								1780.1	204	9.2
								1779.3	205	7.7
								1778.4	206	8.4
								1777.6	207	7.5
								1776.8	208	6.3
								1775.9	209	7.6
								1775.1	210	7.1
								1774.3	211	6.0
								1773.5	212	7.3
								1772.6	213	6.9
								1771.8	214	7.6
								1771.0	215	8.5
								1770.1	216	8.4
								1769.3	217	8.4
								1768.5	218	8.3
								1767.6	219	7.9
								1766.8	220	7.5
								1766.0	221	7.5
								1765.1	222	7.6
								1764.3	223	8.5
								1763.5	224	7.5
								1762.6	225	8.0
								1761.8	226	7.7
								1761.0	227	7.3
								1760.1	228	7.6
								1759.3	229	8.1
								1758.5	230	8.0
								1757.6	231	8.3
								1756.8	232	7.9
								1756.0	233	8.5
								1755.1	234	8.2
								1754.3	235	8.6
								1753.5	236	7.6
								1752.7	237	7.7
								1751.8	238	7.8
								1751.0	239	8.9
								1750.2	240	8.1
								1749.3	241	7.0
								1748.5	242	7.2
								1747.7	243	8.1
								1746.8	244	8.2
								1746.0	245	8.2
								1745.2	246	8.0
								1744.3	247	7.8
								1743.5	248	8.6
								1742.7	249	8.3
								1741.8	250	8.1
								1741.0	251	8.5
								1740.2	252	8.5
								1739.3	253	7.8
								1738.5	254	9.3
								1737.7	255	9.6
								1736.8	256	8.6
								1736.0	257	8.7
								1735.2	258	8.0
								1734.3	259	6.4
								1733.5	260	9.7
								1732.7	261	8.8
								1731.9	262	8.5
								1731.0	263	10.3
								1730.2	264	8.2
								1729.4	265	7.8
								1728.5	266	7.2
								1727.7	267	9.5
								1726.9	268	7.9
								1726.0	269	8.8
								1725.2	270	8.4
								1724.4	271	8.3
								1723.5	272	7.8
								1722.7	273	8.8
								1721.9	274	8.3
								1721.0	275	7.6
								1720.2	276	8.3
								1719.4	277	8.4
								1718.5	278	7.6
								1717.7	279	6.9
								1716.9	280	6.6
								1716.0	281	8.0
								1715.2	282	7.8
								1714.4	283	8.0
								1713.5	284	8.1
								1712.7	285	7.8
								1711.9	286	7.7
								1711.1	287	7.8
								1710.2	288	7.0
								1709.4	289	7.5
								1708.6	290	7.6
								1707.7	291	7.4
								1706.9	292	8.6
								1706.1	293	8.4
								1705.2	294	8.6
								1704.4	295	9.1
								1703.6	296	8.3
								1702.7	297	7.9
								1701.9	298	8.3
								1701.1	299	8.0
								1700.2	300	9.2
								1699.4	301	9.3
								1698.6	302	8.1
								1697.7	303	8.7
								1696.9	304	8.1
								1696.1	305	9.0
								1695.2	306	9.0
								1694.4	307	8.8
								1693.6	308	9.3
								1692.8	309	9.0
								1691.9	310	8.0
								1691.1	311	7.3
								1690.3	312	7.1
								1689.4	313	7.2
								1688.6	314	7.9
								1687.8	315	7.6
								1686.9	316	8.5
								1686.1	317	7.6
								1685.3	318	7.6
								1684.4	319	9.0
								1683.6	320	8.7
								1682.8	321	8.5
								1681.9	322	7.7
								1681.1	323	8.1
								1680.3	324	7.9
								1679.4	325	9.1
								1678.6	326	7.1
								1677.8	327	7.9
								1676.9	328	8.1
								1676.1	329	7.8
								1675.3	330	8.1
								1674.5	331	8.3
								1673.6	332	8.0
								1672.8	333	7.6
								1672.0	334	6.9
								1671.1	335	9.1
								1670.3	336	7.6
								1669.5	337	8.2
								1668.6	338	8.4
								1667.8	339	8.2
								1667.0	340	7.4
								1666.1	341	8.1
								1665.3	342	7.3
								1664.5	343	8.3
								1663.6	344	7.6
								1662.8	345	7.8
								1662.0	346	7.8
								1661.1	347	6.9
								1660.3	348	7.6
								1659.5	349	7.6
								1658.6	350	7.6
								1657.8	351	8.0
								1657.0	352	8.3
								1656.2	353	8.7
								1655.3	354	7.9
								1654.5	355	6.7
								1653.7	356	6.6
								1652.8	357	8.1
