Date	INDICATORS_BCI_M	INDICATORS_CCI_M
2012-06-01	99.97858	99.28967
2012-07-01	99.9751	99.28675
2012-08-01	99.96252	99.30062
2012-09-01	99.9175	99.29012
2012-10-01	99.82061	99.28049
2012-11-01	99.7014	99.34646
2012-12-01	99.60018	99.5671
2013-01-01	99.55231	99.98727
2013-02-01	99.55433	100.3422
2013-03-01	99.61182	100.5409
2013-04-01	99.73746	100.5858
2013-05-01	99.89343	100.5373
2013-06-01	100.0395	100.3877
2013-07-01	100.1505	100.2737
2013-08-01	100.244	100.242
2013-09-01	100.3464	100.2822
2013-10-01	100.4768	100.111
2013-11-01	100.6214	99.95443
2013-12-01	100.7573	99.67763
2014-01-01	100.863	99.32533
2014-02-01	100.9356	98.96028
2014-03-01	100.9635	98.71423
2014-04-01	100.93	98.7149
2014-05-01	100.8633	98.97589
2014-06-01	100.7922	99.28648
2014-07-01	100.7361	99.47103
2014-08-01	100.6985	99.43446
2014-09-01	100.685	99.27888
2014-10-01	100.7022	99.09378
2014-11-01	100.7323	98.97458
2014-12-01	100.7549	99.01604
2015-01-01	100.7555	99.18498
2015-02-01	100.7408	99.44315
2015-03-01	100.7198	99.63306
2015-04-01	100.6983	99.71275
2015-05-01	100.6812	99.70292
2015-06-01	100.6745	99.66191
2015-07-01	100.6829	99.61342
2015-08-01	100.6977	99.6149
2015-09-01	100.7071	99.64172
2015-10-01	100.7012	99.75
2015-11-01	100.682	99.85809
2015-12-01	100.6493	99.85738
2016-01-01	100.6011	99.7507
2016-02-01	100.5472	99.5983
2016-03-01	100.499	99.56968
2016-04-01	100.4657	99.57565
2016-05-01	100.4451	99.62563
2016-06-01	100.4369	99.71207
2016-07-01	100.4446	99.78793
2016-08-01	100.4643	99.87189
2016-09-01	100.4959	99.91781
2016-10-01	100.5429	99.86757
2016-11-01	100.6005	99.82439
2016-12-01	100.6658	99.93864
2017-01-01	100.7384	100.0677
2017-02-01	100.8132	100.1818
2017-03-01	100.8844	100.263
