subj_idx,rt,response,sensoryCondition,session,half,corrChoice,stimCodedCorrChoice,third,stimName,keyHit
1,0.82771,1,4,1,2,2,1,2,AT,2
1,1.0089,1,5,1,2,2,1,2,AT,2
1,1.0814,1,5,1,2,1,0,2,AT,1
1,0.7936,0,1,1,2,2,1,2,A,1
1,1.2049,0,5,1,2,2,1,2,AT,1
1,0.71669,0,3,1,2,2,1,2,AT,1
1,0.52025,1,4,1,2,1,0,2,AT,1
1,0.63636,1,2,1,2,1,0,2,T,1
1,0.51221,0,1,1,2,1,0,2,A,2
1,0.4704,1,4,1,2,2,1,2,AT,2
1,1.4085,1,2,1,2,2,1,2,T,2
1,1.6077,1,3,1,2,1,0,2,AT,1
1,0.83128,0,3,1,2,1,0,2,AT,2
1,1.8224,0,1,1,2,2,1,2,A,1
1,1.6822,1,4,1,2,2,1,2,AT,2
1,0.71648,1,3,1,2,2,1,2,AT,2
1,0.60797,1,5,1,2,2,1,2,AT,2
1,1.1699,1,5,1,2,1,0,2,AT,1
1,0.85781,0,2,1,2,2,1,2,T,1
1,1.1849,0,1,1,2,1,0,2,A,2
1,1.3908,1,4,1,2,1,0,2,AT,1
1,1.906,0,2,1,2,1,0,2,T,2
1,0.67154,1,3,1,2,1,0,2,AT,1
1,0.70326,1,1,1,2,1,0,2,A,1
1,0.72084,1,2,1,2,1,0,2,T,1
1,0.73034,1,5,1,2,1,0,2,AT,1
1,0.71378,0,5,1,2,2,1,2,AT,1
1,1.3273,1,3,1,2,2,1,2,AT,2
1,0.92282,1,4,1,2,2,1,2,AT,2
1,0.69364,1,1,1,2,2,1,2,A,2
1,0.83923,1,4,1,2,1,0,2,AT,1
1,1.0743,1,2,1,2,2,1,2,T,2
1,1.3754,1,1,1,2,1,0,2,A,1
1,0.9247,1,5,1,2,2,1,2,AT,2
1,0.83151,1,1,1,2,2,1,2,A,2
1,0.91666,1,5,1,2,1,0,2,AT,1
1,0.65156,0,4,1,2,2,1,2,AT,1
1,0.70724,1,2,1,2,1,0,2,T,1
1,0.72083,1,2,1,2,2,1,2,T,2
1,0.70031,1,3,1,2,2,1,3,AT,2
1,0.61187,0,3,1,2,1,0,3,AT,2
1,0.47978,1,4,1,2,1,0,3,AT,1
1,0.63598,1,3,1,2,2,1,3,AT,2
1,1.3117,1,2,1,2,1,0,3,T,1
1,0.85927,1,3,1,2,1,0,3,AT,1
1,0.7643,1,4,1,2,1,0,3,AT,1
1,0.70571,1,5,1,2,1,0,3,AT,1
1,0.72932,0,2,1,2,2,1,3,T,1
1,0.71272,1,1,1,2,2,1,3,A,2
1,0.99025,1,5,1,2,2,1,3,AT,2
1,0.74888,0,4,1,2,2,1,3,AT,1
1,0.76434,1,1,1,2,1,0,3,A,1
1,0.87875,0,2,1,2,1,0,3,T,2
1,0.73975,1,4,1,2,2,1,3,AT,2
1,0.84315,1,5,1,2,2,1,3,AT,2
1,0.59825,1,3,1,2,2,1,3,AT,2
1,0.59213,1,1,1,2,1,0,3,A,1
1,1.0301,0,2,1,2,2,1,3,T,1
1,1.4906,1,1,1,2,2,1,3,A,2
1,1.0654,1,3,1,2,1,0,3,AT,1
1,0.70377,1,4,1,2,1,0,3,AT,1
1,0.63132,1,5,1,2,1,0,3,AT,1
1,0.58113,1,4,1,2,2,1,3,AT,2
1,0.60903,1,2,1,2,1,0,3,T,1
1,1.2409,1,1,1,2,1,0,3,A,1
1,0.61865,1,5,1,2,1,0,3,AT,1
1,0.64455,1,4,1,2,1,0,3,AT,1
1,0.76029,1,1,1,2,2,1,3,A,2
1,0.82763,1,2,1,2,2,1,3,T,2
1,0.76879,1,3,1,2,2,1,3,AT,2
1,1.2421,1,5,1,2,2,1,3,AT,2
1,1.1538,1,3,1,2,1,0,3,AT,1
1,0.70351,1,5,1,2,1,0,3,AT,1
