Id:14POPI01A,in:,0,az:,90,dip:,0,str:,0,m:,1.49,com:35_R,,,,,
,570RM,-6.32E-07,-6.30E-08,-2.20E-06,0,C1,71,,,,,,,,,
,570VM,-5.19E-07,-3.84E-07,1.91E-06,0,C1,0,,,,,,,,,
,550PM,-5.96E-07,-5.99E-08,-1.32E-06,0,C1,0,,,,,,,,,
,580RN,-4.55E-07,3.17E-08,-2.39E-06,0,C1,72,,,,,,,,,
,580VN,-3.51E-07,-3.37E-07,2.09E-06,0,C1,0,,,,,,,,,
,590RO,-2.95E-07,1.16E-07,-2.55E-06,0,C1,0,,,,,,,,,
,590VO,-2.16E-07,-2.83E-07,2.26E-06,0,C1,76,,,,,,,,,Id:14POPI05B,in:,0,az:,90,dip:,0,str:,0,m:,1.4,com:35_R,,,,,
L:,-24.47,G:,-65.42,H:0000,T:2014,9,14,0,0,azm:,0,azs:,0,Or:A12_0_3_90,Fm:,||Li:ceramique|Loc:jujuy
,0N0,-1.75E-06,-1.33E-06,-3.94E-07,0,C1,48,,,,,,,,,
,150RA,-1.82E-06,-1.30E-06,-4.75E-07,0,C1,50,,,,,,,,,
,150VA,-1.81E-06,-1.30E-06,-3.35E-07,0,C1,50,,,,,,,,,
,240RB,-1.66E-06,-1.23E-06,-5.92E-07,0,C1,50,,,,,,,,,
,240VB,-1.65E-06,-1.23E-06,-2.34E-07,0,C1,50,,,,,,,,,
,300RC,-1.59E-06,-1.13E-06,-6.12E-07,0,C1,51,,,,,,,,,
,300VC,-1.53E-06,-1.19E-06,-1.33E-07,0,C1,50,,,,,,,,,
,150PC,-1.54E-06,-1.17E-06,-2.97E-07,0,C1,0,,,,,,,,,
,350RD,-1.57E-06,-9.92E-07,-6.65E-07,0,C1,50,,,,,,,,,
,350VD,-1.45E-06,-1.09E-06,-4.33E-08,0,C1,51,,,,,,,,,
,390RE,-1.44E-06,-9.96E-07,-7.00E-07,0,C1,49,,,,,,,,,
,390VE,-1.36E-06,-1.04E-06,1.95E-08,0,C1,50,,,,,,,,,
,300PE,-1.40E-06,-1.02E-06,-4.73E-07,0,C1,49,,,,,,,,,
,440RF,-1.27E-06,-9.02E-07,-7.81E-07,0,C1,50,,,,,,,,,
,440VF,-1.23E-06,-8.82E-07,1.64E-07,0,C1,48,,,,,,,,,
,480RG,-1.10E-06,-7.35E-07,-8.77E-07,0,C1,53,,,,,,,,,
,480VG,-9.88E-07,-7.77E-07,3.67E-07,0,C1,46,,,,,,,,,
,390PG,-1.05E-06,-7.36E-07,-3.91E-07,0,C1,48,,,,,,,,,
,510RH,-9.11E-07,-5.67E-07,-9.95E-07,0,C1,48,,,,,,,,,
,510VH,-7.86E-07,-6.52E-07,4.70E-07,0,C1,45,,,,,,,,,
,530RI,-8.24E-07,-5.17E-07,-1.01E-06,0,C1,45,,,,,,,,,
,530VI,-6.20E-07,-5.93E-07,7.23E-07,0,C1,47,,,,,,,,,
,480PI,-7.36E-07,-4.65E-07,-4.84E-07,0,C1,0,,,,,,,,,
,530X+,5.25E-07,-4.50E-07,-1.24E-07,0,C1,47,,,,,,,,,
