007A1FS20AE075004200000NT    	
7	3342
7	2177
3	2088
6	2561
1	1947
7	1037
1	3456
1	3752
2	4656
6	2636
7	1345
5	2892
6	2923
4	3435
1	3986
6	7265
1	2439
4	7096
1	7007
0	0
2	2811
6	1572
7	3980
6	3084
4	5375
4	2336
2	4144
2	5173
3	2032
1	4135
1	2907
2	2963
6	1719
5	3871
5	3224
3	1553
3	2785
3	1059
6	1694
4	2981
6	1665
032A1FS18AS075007700000NT	
3	3734
2	2600
3	3161
6	1422
2	2319
3	2114
2	3872
6	4374
4	3173
3	2793
3	3184
4	1931
3	2586
3	2167
6	3893
3	2270
1	2563
3	1706
6	1963
4	3228
6	2283
1	2542
1	2002
1	2063
3	3101
3	3986
6	2932
4	2871
3	3626
2	2284
3	3330
4	1891
3	1745
3	1171
3	2230
3	1275
2	3346
2	3796
4	3117
4	2063
3	3050
3	2412
2	154
1	2619
2	3376
3	2321
3	3137
3	2055
3	1923
6	4510
3	3787
3	5033
1	1758
1	2735
3	2971
2	2710
4	1750
5	2709
4	4004
3	3616
2	3225
2	2279
2	4241
3	893
4	2296
3	2549
3	2210
4	2158
2	2028
2	2069
2	2028
2	2369
2	2500
1	1440
5	6362
2	7517
4	4859
5	1328
4	6758
2	2847
6	5574
5	2786
6	3639
5	5600
2	2588
2	2833
1	2395
1	1834
4	3031
3	787
3	1578
3	1349
2	1817
3	3435
2	2502
2	2338
2	1900
2	3309
2	1325
7	2526
6	3242
1	2556
2	2300
1	1960
4	1824
1	4433
1	3187
3	4212
4	2238
4	3298
1	2496
1	2940
5	1946
5	3617
5	2663
1	1952
1	2174
7	2773
2	2230
2	3380
1	1464
3	1716
2	893
2	1882
3	1594
4	4131
4	2382
2	1040
3	2890
1	2737
2	1642
2	2404
3	4096
1	2653
1	2505
3	2247
4	3990
5	4943
5	1854
2	2412
3	4026
2	2131
4	1263
3	1320
1	1989
1	1913
1	3420
5	1857
3	3071
4	5082
2	2812
1	137
5	2036
5	2614
5	2636
4	3261
033A1FS18AE065009900000NT	
5	4924
4	5057
7	2706
3	3971
2	4667
4	3698
5	1857
3	6201
1	3211
2	3267
2	3319
6	1892
3	1783
4	1859
3	1932
3	3293
4	4207
7	2972
4	2756
4	1801
4	9493
4	1878
2	3031
6	2015
5	2484
4	2510
3	6853
3	2962
2	1647
5	2952
3	3015
4	6351
4	1386
4	1795
4	1181
5	1572
1	2503
1	1071
5	2416
6	1264
6	5146
3	2640
1	1331
2	6723
6	2540
4	2421
5	3312
4	1104
5	1076
7	1824
6	2419
1	1509
1	1441
6	4341
5	1789
4	7427
4	1825
0	0
3	818
2	2293
4	1469
3	1359
3	2051
4	2142
4	2765
5	5372
4	1272
6	1678
5	3260
1	1741
2	1211
3	4014
5	1797
7	5106
5	2099
5	1123
5	750
4	1626
1	788
1	940
1	694
3	2093
5	5413
1	863
4	3884
4	5282
6	2595
5	7818
1	2445
7	1859
4	2687
3	1735
3	5961
2	1245
7	2266
2	2217
4	3002
3	2668
4	2171
6	3527
1	1772
6	2341
1	1579
2	2246
5	2802
3	5057
4	9264
4	4791
3	2486
3	1898
1	2519
1	1795
4	3489
6	2515
6	2131
7	2005
6	3579
5	2333
4	8495
2	2454
2	1824
2	2821
2	2326
6	4950
2	2745
3	2471
3	2037
3	2052
2	2132
3	2257
5	2747
4	1837
0	0
1	1903
1	3020
6	2699
5	5457
6	1711
6	3954
2	2962
1	4109
5	3749
5	2977
5	4578
3	2032
1	2038
5	4067
3	4388
5	3439
5	2461
4	1879
4	2502
6	1582
4	4737
5	2805
4	2892
034A1MS18AS078008900000NT	
4	1331
4	1996
2	3337
2	1883
4	4103
3	3611
2	14
3	1210
3	4048
2	1300
1	1440
2	1793
1	4948
2	1792
2	1765
4	2817
4	2026
4	1222
5	1719
4	3739
2	2199
1	2043
2	3666
4	2321
4	3495
1	1307
2	1476
4	4418
4	1856
4	2281
2	1218
3	799
2	1800
2	2623
2	3246
2	1628
2	1744
3	2166
2	3914
3	1937
2	1059
2	1020
4	1902
4	5140
2	2014
3	3969
4	3181
4	2426
4	1361
4	2346
5	2980
3	5528
2	4678
3	2479
3	1511
1	2009
2	2255
4	2557
4	2619
2	2033
3	2717
3	2496
3	3246
